State,Ethnicity,Poverty
alabama,White,414000
alaska,White,36200
arizona,White,407300
arkansas,White,312100
california,White,1420900
colorado,White,323800
connecticut,White,147900
delaware,White,50300
districtofcolumbia,White,17400
florida,White,1217200
georgia,White,604800
hawaii,White,34300
idaho,White,169800
illinois,White,695600
indiana,White,639500
iowa,White,272900
kansas,White,215900
kentucky,White,611700
louisiana,White,302300
maine,White,156000
maryland,White,197400
massachusetts,White,371600
michigan,White,940200
minnesota,White,338600
mississippi,White,229100
missouri,White,594400
montana,White,109100
nebraska,White,143600
nevada,White,149100
newhampshire,White,89900
newjersey,White,301100
newmexico,White,89200
newyork,White,1039300
northcarolina,White,710900
northdakota,White,58300
ohio,White,1147700
oklahoma,White,320300
oregon,White,390000
pennsylvania,White,944600
rhodeisland,White,74700
southcarolina,White,342900
southdakota,White,67800
tennessee,White,658400
texas,White,1039400
utah,White,225500
vermont,White,64200
virginia,White,437700
washington,White,494200
westvirginia,White,297000
wisconsin,White,457900
wyoming,White,43100
puertorico,White,10500
alabama,Black,395400
alaska,Black,0
arizona,Black,55000
arkansas,Black,147900
california,Black,457100
colorado,Black,40200
connecticut,Black,65000
delaware,Black,35900
districtofcolumbia,Black,79700
florida,Black,786900
georgia,Black,746700
hawaii,Black,0
idaho,Black,0
illinois,Black,534200
indiana,Black,163400
iowa,Black,39200
kansas,Black,42600
kentucky,Black,107600
louisiana,Black,445300
maine,Black,6100
maryland,Black,257200
massachusetts,Black,86800
michigan,Black,439100
minnesota,Black,102900
mississippi,Black,377000
missouri,Black,201700
montana,Black,0
nebraska,Black,30000
nevada,Black,50000
newhampshire,Black,0
newjersey,Black,198800
newmexico,Black,7100
newyork,Black,612400
northcarolina,Black,533100
northdakota,Black,0
ohio,Black,444400
oklahoma,Black,74300
oregon,Black,23800
pennsylvania,Black,348500
rhodeisland,Black,20900
southcarolina,Black,373800
southdakota,Black,0
tennessee,Black,294400
texas,Black,680700
utah,Black,9000
vermont,Black,0
virginia,Black,287800
washington,Black,54900
westvirginia,Black,13700
wisconsin,Black,121300
wyoming,Black,0
puertorico,Black,0
alabama,Hispanic,53400
alaska,Hispanic,2700
arizona,Hispanic,502700
arkansas,Hispanic,52700
california,Hispanic,3134400
colorado,Hispanic,239600
connecticut,Hispanic,106300
delaware,Hispanic,15100
districtofcolumbia,Hispanic,8400
florida,Hispanic,918900
georgia,Hispanic,265700
hawaii,Hispanic,19200
idaho,Hispanic,46900
illinois,Hispanic,411100
indiana,Hispanic,108800
iowa,Hispanic,44000
kansas,Hispanic,71200
kentucky,Hispanic,39700
louisiana,Hispanic,37800
maine,Hispanic,4700
maryland,Hispanic,62900
massachusetts,Hispanic,188100
michigan,Hispanic,123500
minnesota,Hispanic,56000
mississippi,Hispanic,19500
missouri,Hispanic,57800
montana,Hispanic,6300
nebraska,Hispanic,41300
nevada,Hispanic,163400
newhampshire,Hispanic,5300
newjersey,Hispanic,298700
newmexico,Hispanic,251300
newyork,Hispanic,854600
northcarolina,Hispanic,264000
northdakota,Hispanic,3200
ohio,Hispanic,109400
oklahoma,Hispanic,100100
oregon,Hispanic,130100
pennsylvania,Hispanic,223800
rhodeisland,Hispanic,41900
southcarolina,Hispanic,73600
southdakota,Hispanic,5300
tennessee,Hispanic,96100
texas,Hispanic,2475100
utah,Hispanic,98600
vermont,Hispanic,0
virginia,Hispanic,89500
washington,Hispanic,224300
westvirginia,Hispanic,6300
wisconsin,Hispanic,82500
wyoming,Hispanic,9100
puertorico,Hispanic,1638400
